Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff,TradeoffScore,Dataset,Acc_Rank,DPD_Rank,Combined_Rank
Constrained (ε=0.1),In-processing,0.8982762806506434,,0.6610978520286396,0.1989942528735632,0.3059083379348426,0.0026343868400453,0.9260176362420596,0.029997919932081,0.0553060958934791,0.0046897439706829,,Bank Marketing,13.5,13.5,27.0
Equalized Odds,Post-processing,0.8609694909767743,,0.4135737009544008,0.5603448275862069,0.4758999389871873,0.0216938191886776,0.8698073673074016,0.0287054524542717,0.0414427751386012,0.0159681297699422,,Bank Marketing,20.0,22.0,42.0
ThreshOpt (w=0.3),Post-processing,0.9012705349194788,,0.7097560975609756,0.209051724137931,0.3229744728079911,0.0016409648942261,0.9520728853226345,0.038924686366668,0.0723584710457325,0.0054909016876035,,Bank Marketing,4.0,9.0,13.0
ThreshOpt (w=0.5),Post-processing,0.9012705349194788,,0.7097560975609756,0.209051724137931,0.3229744728079911,0.0016409648942261,0.9520728853226345,0.038924686366668,0.0723584710457325,0.0054909016876035,,Bank Marketing,4.0,9.0,13.0
ThreshOpt (w=0.7),Post-processing,0.9012705349194788,,0.7097560975609756,0.209051724137931,0.3229744728079911,0.0016409648942261,0.9520728853226345,0.038924686366668,0.0723584710457325,0.0054909016876035,,Bank Marketing,4.0,9.0,13.0
Calibrated,Post-processing,0.9012705349194788,,0.7097560975609756,0.209051724137931,0.3229744728079911,0.0016409648942261,0.9520728853226345,0.038924686366668,0.0723584710457325,0.0054909016876035,,Bank Marketing,4.0,9.0,13.0
Reject Option,Post-processing,0.9005422028000324,,0.6791208791208792,0.2219827586206896,0.3345966432051976,0.0124881892882482,0.6972468153098244,0.063945126878318,0.1239763562013775,0.0039138975552584,,Bank Marketing,9.5,18.0,27.5
Baseline,Baseline,0.8990384615384616,,0.9107142857142856,0.9828890489913544,0.9454261954261954,0.1591108566467115,,0.2025358109317019,,,,Law School,4.5,17.0,21.5
Reweighing,Pre-processing,0.8969551282051282,,0.9040329218106996,0.989193083573487,0.9446976864195408,0.0914145004860339,,0.110754682709005,,,,Law School,11.0,10.0,21.0
DIR (r=0.5),Pre-processing,0.8971153846153846,,0.9091666666666668,0.982528818443804,0.9444252077562328,0.1041905882426961,,0.1091326920573525,,,,Law School,10.0,11.0,21.0
DIR (r=1.0),Pre-processing,0.8977564102564103,,0.9081395348837208,0.9846902017291066,0.9448669201520912,0.1116619845916213,,0.1223054796067296,,,,Law School,9.0,13.0,22.0
LabelFlip (targeted),Pre-processing,0.8919871794871795,,0.8922483113541332,0.9992795389048992,0.9427357689039932,0.0142334032760892,,0.0174933755441826,,,,Law School,13.5,7.0,20.5
LabelFlip (equalize),Pre-processing,0.8908653846153847,,0.890742820471683,1.0,0.9422146796775562,0.0035807650080691,,0.0039642946228129,,,,Law School,15.0,5.0,20.0
Sampling (oversample),Pre-processing,0.8022435897435898,,0.9643010752688173,0.8076368876080692,0.879043324838267,0.3439752232767813,,0.2233619896945111,,,,Law School,22.0,23.0,45.0
Sampling (undersample),Pre-processing,0.8075320512820513,,0.9633652822151224,0.8146613832853026,0.8827949643798185,0.3341011831545966,,0.2199530034822499,,,,Law School,21.0,21.0,42.0
Sampling (hybrid),Pre-processing,0.8004807692307693,,0.9646170442286948,0.8052953890489913,0.8777854127809954,0.339905278423551,,0.2188338794695125,,,,Law School,23.0,22.0,45.0
FairReg (λ=0.1),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,,0.0,,,,Law School,17.5,2.5,20.0
FairReg (λ=0.5),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,,0.0,,,,Law School,17.5,2.5,20.0
FairReg (λ=1.0),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,,0.0,,,,Law School,17.5,2.5,20.0
FairReg (λ=2.0),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,,0.0,,,,Law School,17.5,2.5,20.0
Adversarial (w=0.5),In-processing,0.8979166666666667,,0.9115726009043712,0.9803674351585014,0.9447192571378982,0.1085090553323748,,0.1167610713192197,,,,Law School,8.0,12.0,20.0
Adversarial (w=1.0),In-processing,0.8932692307692308,,0.8987920339536403,0.99171469740634,0.9429696865901696,0.0286948807565142,,0.0223772424143526,,,,Law School,12.0,8.0,20.0
Constrained (ε=0.05),In-processing,0.9009615384615384,,0.9113037679226408,0.9845100864553314,0.9464935064935064,0.1737437830117749,,0.2223922802815391,,,,Law School,1.0,20.0,21.0
Constrained (ε=0.1),In-processing,0.8990384615384616,,0.9081260364842454,0.9863112391930836,0.9456052495251251,0.1564982273129083,,0.2069789273745434,,,,Law School,4.5,14.0,18.5
Equalized Odds,Post-processing,0.8597756410256411,,0.9368578367270688,0.903278097982709,0.9197615772581385,0.0797103614897493,,0.0044444014761486,,,,Law School,20.0,9.0,29.0
ThreshOpt (w=0.3),Post-processing,0.8990384615384616,,0.9107142857142856,0.9828890489913544,0.9454261954261954,0.1591108566467115,,0.2025358109317019,,,,Law School,4.5,17.0,21.5
ThreshOpt (w=0.5),Post-processing,0.8990384615384616,,0.9107142857142856,0.9828890489913544,0.9454261954261954,0.1591108566467115,,0.2025358109317019,,,,Law School,4.5,17.0,21.5
ThreshOpt (w=0.7),Post-processing,0.8990384615384616,,0.9107142857142856,0.9828890489913544,0.9454261954261954,0.1591108566467115,,0.2025358109317019,,,,Law School,4.5,17.0,21.5
Calibrated,Post-processing,0.8990384615384616,,0.9107142857142856,0.9828890489913544,0.9454261954261954,0.1591108566467115,,0.2025358109317019,,,,Law School,4.5,17.0,21.5
Reject Option,Post-processing,0.8919871794871795,,0.9002297341647522,0.9881123919308358,0.9421260518633008,0.0080423683225377,,0.0570430989326484,,,,Law School,13.5,6.0,19.5
Baseline,Baseline,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.1783923640992541,0.1671408168496826,0.1792444419865196,,,,Adult Census,6.5,18.5,25.0
Reweighing,Pre-processing,0.8078240689578959,,0.7040572792362768,0.3929840142095914,0.5044172128811627,0.0707432968481067,0.5622892086256117,0.0051551245031944,,,,Adult Census,12.0,9.0,21.0
DIR (r=0.5),Pre-processing,0.8173278815338711,,0.7110641296687809,0.4480461811722913,0.5497139743938981,0.1782296036825875,0.1672679201324581,0.1791264896392679,,,,Adult Census,4.0,16.0,20.0
DIR (r=1.0),Pre-processing,0.8105868051718422,,0.7128164556962026,0.400088809946714,0.512514220705347,0.0891204326233505,0.4704488026713097,0.0320771539155043,,,,Adult Census,9.0,10.0,19.0
LabelFlip (targeted),Pre-processing,0.7868272737319041,,0.6967113276492083,0.2539964476021314,0.3722746501789782,0.0169510631812966,0.8341991968294051,0.0887200958557396,,,,Adult Census,15.0,6.0,21.0
